server_id,cpu_usage,memory_usage,disk_usage,network_usage,temperature,running_processes,disk_read_speed,disk_write_speed,swap_usage,network_latency,packet_loss,uptime_hours,error_logs,warning_logs,critical_logs,power_consumption,gpu_usage,fan_speed,failure
1ec4abbc-56e8-41db-9ba5-c82be915eaea,54.54,33.41,88.02,847.53,39.11,58,263.37,56.2,63.75,224.28,7.24,7943,5,75,4,659.61,53.02,2654,0
22b9946e-834c-4173-8237-4b6831c532dc,72.46,37.37,89.44,497.22,58.62,283,340.69,336.54,48.38,229.88,7.02,8031,36,10,7,422.1,21.5,920,1
36771ef4-7d6e-4b2e-85bd-8d222602548c,46.56,43.38,96.76,851.23,66.28,558,209.95,27.13,57.76,225.59,5.39,5869,10,54,0,581.05,76.56,4203,0
4ccd3bce-a8d2-4354-b11e-0efa05cb9735,73.17,71.08,43.0,355.71,44.16,560,49.43,397.35,88.19,129.15,8.49,4030,37,1,7,324.33,49.19,2232,1
ddcac55b-6806-4f05-b9b6-20d8a26c2939,39.63,94.82,49.99,771.28,45.18,243,24.07,389.23,59.25,213.74,5.02,1582,32,25,7,455.24,4.2,3461,1
7f856949-1a8c-459c-aafa-6de5123f8646,76.54,24.47,72.83,820.38,75.22,444,590.97,420.99,51.21,8.89,2.5,11441,2,81,8,544.92,89.89,2895,0
f2779665-c982-44f2-a063-9929f74db78e,40.47,61.85,55.27,222.81,79.95,584,556.96,343.85,24.52,4.54,6.91,8319,30,48,4,508.96,82.57,3674,0
80cff6ac-329c-49a2-90ad-62110200c11e,59.51,89.14,42.12,935.87,28.57,394,128.29,50.93,13.15,185.34,2.91,6190,34,80,2,287.1,95.38,1852,0
848b0649-fae7-441e-bdb8-8929fe72fa77,76.25,34.83,44.22,223.13,83.45,318,213.53,97.94,16.95,149.88,3.09,332,19,32,6,275.17,10.07,3730,0
d557ee72-3b0b-4afc-bee3-1c3b8cd03c2c,66.64,54.81,15.59,598.16,57.3,439,326.66,397.01,44.54,238.75,3.43,6942,33,5,0,479.41,64.69,2945,0
f2cbfadb-4799-43af-aec7-46ce69e30add,31.66,43.77,57.36,68.31,52.63,112,49.06,31.2,2.25,175.86,0.49,808,1,85,1,247.68,68.04,2758,0
2b92ec16-eefd-40ee-baaa-227cdf28cb45,68.88,85.31,14.18,247.91,77.26,547,175.77,472.53,85.42,18.48,6.66,5130,24,21,7,298.7,48.79,3955,1
5ec4284a-8b99-4fba-9bef-eb637fac8f5c,99.6,34.83,89.33,164.17,83.96,515,536.1,176.25,41.84,180.44,7.62,11505,7,78,4,635.01,93.43,2708,1
